"code","Productgroep","Gecontracteerde tarieven","CZ Zorg-op-maatpolis (75%)","CZ Zorgbewustpolis (70%)","NZA Tarief","%"
"46","165","Crisis - vanaf 800 tot en met 1199 minuten",2041.29,1530.96,1428.9,2171.53,0.940023854148918
"47","169","Aandachtstekort - en gedrag - vanaf 800 tot en met 1799 minuten",2443.67,1832.75,1710.57,2671.65,0.914666966107087
"48","170","Aandachtstekort - en gedrag - vanaf 12000 tot en met 17999 minuten",24774.25,18580.69,17341.97,26815.23,0.923887283457945
"49","172","Pervasief - vanaf 800 tot en met 1799 minuten",2370.82,1778.11,1659.57,2631.83,0.900825661231919
"50","173","Pervasief - vanaf 12000 tot en met 17999 minuten",25450.07,19087.56,17815.05,27058.55,0.940555573007423
"51","175","Overige kindertijd - vanaf 6000 tot en met 11999 minuten",14739.29,11054.47,10317.5,15987.15,0.921946062931792
"52","177","Delirium dementie en overig - vanaf 12000 tot en met 17999 minuten",26843.08,20132.31,18790.15,28092.07,0.95553941023214
"53","178","Delirium dementie en overig - vanaf 18000 minuten",44118.95,33089.22,30883.27,45920.65,0.960764928196792
"54","179","Alcohol - vanaf 12000 tot en met 17999 minuten",25250.61,18937.95,17675.42,27443.33,0.920100075318848
"55","180","Alcohol - vanaf 18000 minuten",41101,30825.75,28770.7,43283.68,0.949572679587318
"56","181","Overige aan een middel - vanaf 800 tot en met 1799 minuten",2263.31,1697.48,1584.32,2486.55,0.910220988920392
"57","182","Overige aan een middel - vanaf 12000 tot en met 17999 minuten",25224.42,18918.31,17657.09,27909.17,0.903804018535843
"58","183","Overige aan een middel - vanaf 18000 minuten",40590.11,30442.58,28413.07,42741.1,0.949673967211887
"59","184","Schizofrenie - vanaf 800 tot en met 1799 minuten",2404.64,1803.48,1683.25,2655.97,0.905371672119791
"60","185","Schizofrenie - vanaf 24000 tot en met 29999 minuten",44737.65,33553.24,31316.36,48355.56,0.925181096031149
"61","186","Schizofrenie - vanaf 30000 minuten",82560.81,61920.61,57792.57,85073.04,0.970469728130087
"62","187","Depressie - vanaf 18000 tot en met 23999 minuten",37964.7,28473.53,26575.29,40414.43,0.939384769251973
"63","188","Depressie - vanaf 24000 minuten",53783.17,40337.38,37648.22,57133.75,0.941355503533376
"64","189","Bipolair en overig - vanaf 250 tot en met 799 minuten",1284.59,963.44,899.21,1394.27,0.92133517898255
"65","190","Bipolair en overig - vanaf 1800 tot en met 2999 minuten",4617.07,3462.8,3231.95,4967.12,0.929526566702636
"66","191","Bipolair en overig - vanaf 12000 tot en met 17999 minuten",26203.24,19652.43,18342.27,28512.4,0.919012078955121
"67","192","Bipolair en overig - vanaf 18000 minuten",41399.4,31049.55,28979.58,45141.95,0.917093745396466
"68","193","Angst - vanaf 3000 tot en met 5999 minuten",7815.23,5861.42,5470.66,8380.96,0.932498186365285
"69","194","Angst - vanaf 6000 tot en met 11999 minuten",15253.33,11440,10677.33,16147.64,0.944616674634807
"70","195","Angst - vanaf 18000 tot en met 23999 minuten",37407.56,28055.67,26185.29,39433.07,0.94863423010179
"71","196","Angst - vanaf 24000 minuten",46326.02,34744.51,32428.21,53039.63,0.873422759547908
"72","203","Restgroep diagnoses - vanaf 800 tot en met 1799 minuten",2385.92,1789.44,1670.14,2582.24,0.923972984695458
"73","204","Restgroep diagnoses - vanaf 12000 tot en met 17999 minuten",26607.27,19955.45,18625.09,28242.23,0.942109387254477
"74","205","Restgroep diagnoses - vanaf 18000 minuten",42071.18,31553.38,29449.83,44692.12,0.941355657328406
"75","206","Persoonlijkheid - vanaf 800 tot en met 1799 minuten",2525.31,1893.98,1767.72,2749.23,0.918551739941729
"76","207","Persoonlijkheid - vanaf 3000 tot en met 5999 minuten",8068.48,6051.36,5647.93,8539.45,0.944847736095416
"77","208","Persoonlijkheid - vanaf 6000 tot en met 11999 minuten",15609.56,11707.17,10926.69,16604.21,0.940096517690393
"78","209","Persoonlijkheid - vanaf 18000 tot en met 23999 minuten",36274.15,27205.62,25391.91,38737.9,0.936399495068137
"79","213","Crisis - vanaf 1200 tot en met 1799 minuten",3022,2266.5,2115.4,3209.09,0.941699983484415
"80","214","Crisis - vanaf 1800 minuten",5121.63,3841.22,3585.14,5457.5,0.93845716903344
"81","215","Behandeling kort - vanaf 1 tot en met 99 minuten",154.39,115.79,108.07,165.35,0.93371635923798
"82","216","Behandeling kort - vanaf 100 tot en met 199 minuten",353.11,264.83,247.18,379.79,0.929750651675926
"83","217","Behandeling kort - vanaf 200 tot en met 399 minuten",645.53,484.15,451.87,696.11,0.927339069974573
"84","221","Aandachtstekort - en gedrag - vanaf 18000 tot en met 23999 minuten",36433.05,27324.79,25503.14,38177.97,0.954295107885516
"85","222","Aandachtstekort - en gedrag - vanaf 24000 minuten",51280,38460,35896,52840.39,0.970469748614649
"86","223","Pervasief - vanaf 1800 tot en met 2999 minuten",4359.97,3269.98,3051.98,4734.71,0.92085259709676
"87","224","Pervasief - vanaf 18000 tot en met 23999 minuten",36201.9,27151.43,25341.33,38457.2,0.941355584909978
"88","225","Pervasief - vanaf 24000 minuten",54686,41014.5,38280.2,59946.85,0.912241427197593
"89","226","Overige kindertijd - vanaf 12000 tot en met 17999 minuten",26577.79,19933.34,18604.45,27663.15,0.960765133399486
"90","227","Overige kindertijd - vanaf 18000 minuten",47151.09,35363.32,33005.76,48585.84,0.970469791198423
"91","228","Delirium dementie en overig - vanaf 250 tot en met 799 minuten",1236.89,927.67,865.82,1340.77,0.922522132804284
"92","229","Delirium dementie en overig - vanaf 800 tot en met 1799 minuten",2307.04,1730.28,1614.93,2518.49,0.916040961052059
"93","230","Schizofrenie - vanaf 250 tot en met 799 minuten",1245.32,933.99,871.73,1370.11,0.908919721774164
"94","231","Depressie - vanaf 250 tot en met 799 minuten",1268.42,951.32,887.9,1379.29,0.919618064366449
"95","232","Depressie - vanaf 800 tot en met 1799 minuten",2486.76,1865.07,1740.73,2712.24,0.916865764091673
"96","233","Depressie - vanaf 1800 tot en met 2999 minuten",4654.28,3490.71,3258,4957.3,0.938873983821838
"97","234","Depressie - vanaf 3000 tot en met 5999 minuten",7958.22,5968.67,5570.75,8489.77,0.937389352126147
"98","235","Depressie - vanaf 6000 tot en met 11999 minuten",15495.01,11621.26,10846.51,16474.74,0.940531383196336
"99","236","Bipolair en overig - vanaf 800 tot en met 1799 minuten",2505.81,1879.35,1754.06,2759.17,0.908175284596455
"100","237","Angst - vanaf 250 tot en met 799 minuten",1237.74,928.3,866.41,1347.97,0.918225183053035
"101","238","Angst - vanaf 800 tot en met 1799 minuten",2459.93,1844.95,1721.95,2683.04,0.916844325839346
"102","239","Angst - vanaf 1800 tot en met 2999 minuten",4630.43,3472.82,3241.3,4917.44,0.941634264983406
"103","242","Restgroep diagnoses - vanaf 250 tot en met 799 minuten",1197.89,898.42,838.52,1291.77,0.927324523715522
"104","243","Persoonlijkheid - vanaf 1800 tot en met 2999 minuten",4688.31,3516.23,3281.82,4997.76,0.938082260852862
"105","244","Persoonlijkheid - vanaf 24000 tot en met 29999 minuten",48992.82,36744.62,34294.98,51778.07,0.946207921616236
"106","245","Persoonlijkheid - vanaf 30000 minuten",59574.75,44681.06,41702.32,63026.22,0.945237553513443
"107","246","Somatoforme - vanaf 250 tot en met 799 minuten",1205.33,904,843.73,1303.73,0.924524249652919
"108","247","Somatoforme - vanaf 800 tot en met 1799 minuten",2401.94,1801.46,1681.36,2606.26,0.921604137729927
"109","248","Somatoforme - vanaf 1800 tot en met 2999 minuten",4560.21,3420.16,3192.15,4824.46,0.945227030589952
"110","249","Somatoforme - vanaf 3000 tot en met 5999 minuten",7506.53,5629.9,5254.57,8073.08,0.929822323078676
"111","250","Somatoforme - vanaf 6000 tot en met 11999 minuten",15177.33,11383,10624.13,16369.19,0.92718882241577
"112","251","Somatoforme - vanaf 12000 minuten",27177.75,20383.31,19024.43,30112.63,0.902536576844998
"113","252","Eetstoornis - vanaf 250 tot en met 799 minuten",1208.95,906.71,846.27,1316.2,0.918515423187965
"114","253","Eetstoornis - vanaf 800 tot en met 1799 minuten",2443.35,1832.51,1710.35,2659.83,0.91861133982247
"115","254","Eetstoornis - vanaf 1800 tot en met 2999 minuten",4475.93,3356.95,3133.15,4796.53,0.93316001359316
"116","255","Eetstoornis - vanaf 3000 tot en met 5999 minuten",7898.95,5924.21,5529.26,8506.37,0.92859233727195
"117","256","Eetstoornis - vanaf 6000 tot en met 11999 minuten",13951.13,10463.35,9765.79,14957.88,0.93269433903735
"118","257","Eetstoornis - vanaf 12000 tot en met 17999 minuten",24949.58,18712.18,17464.7,28218.88,0.884144941259185
"119","258","Eetstoornis - vanaf 18000 minuten",38804.29,29103.21,27163,43495.53,0.892144319197858
"120","264","Behandeling kort - vanaf 400 minuten",1062.15,796.61,743.51,1142.78,0.929443987469154
"121","307","Diagnostiek - vanaf 800 tot en met 1199 minuten",1963.48,1472.61,1374.43,2114.66,0.928508601855618
"122",NA,"Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)",214.48,NA,NA,NA,NA
