"code","Productgroep","Basis naturapolis (75%)","1","Basis voordelig (65%)","Bijbetalen"
"27","121","Persoonlijkheid - vanaf 250 tot en met 799 minuten",929.07,1238.76,805.194,123.876
"28","131","Aandachtstekort - en gedrag - vanaf 6000 tot en met 11999 minuten",10897.9,14530.5333333333,9444.84666666667,1453.05333333333
"29","133","Pervasief - vanaf 6000 tot en met 11999 minuten",10645.12,14193.4933333333,9225.77066666667,1419.34933333333
"30","135","Overige kindertijd - vanaf 3000 tot en met 5999 minuten",5020.44,6693.92,4351.048,669.392
"31","137","Delirium dementie en overig - vanaf 6000 tot en met 11999 minuten",10757.46,14343.28,9323.132,1434.328
"32","139","Alcohol - vanaf 6000 tot en met 11999 minuten",10829.16,14438.88,9385.272,1443.888
"33","141","Overige aan een middel - vanaf 6000 tot en met 11999 minuten",10810.85,14414.4666666667,9369.40333333333,1441.44666666667
"34","143","Schizofrenie - vanaf 12000 tot en met 17999 minuten",18917.71,25223.6133333333,16395.3486666667,2522.36133333333
"35","144","Schizofrenie - vanaf 18000 tot en met 23999 minuten",26433.14,35244.1866666667,22908.7213333333,3524.41866666666
"36","146","Depressie - vanaf 12000 tot en met 17999 minuten",19212.03,25616.04,16650.426,2561.604
"37","148","Bipolair en overig - vanaf 6000 tot en met 11999 minuten",11261.04,15014.72,9759.568,1501.472
"38","150","Angst - vanaf 12000 tot en met 17999 minuten",18874.41,25165.88,16357.822,2516.588
"39","156","Restgroep diagnoses - vanaf 6000 tot en met 11999 minuten",11077.91,14770.5466666667,9600.85533333333,1477.05466666667
"40","158","Persoonlijkheid - vanaf 12000 tot en met 17999 minuten",19063.29,25417.72,16521.518,2541.772
"41","162","Diagnostiek - vanaf 400 tot en met 799 minuten",804.76,1073.01333333333,697.458666666667,107.301333333333
"42","169","Aandachtstekort - en gedrag - vanaf 800 tot en met 1799 minuten",1820.51,2427.34666666667,1577.77533333333,242.734666666666
"43","170","Aandachtstekort - en gedrag - vanaf 12000 tot en met 17999 minuten",18142.92,24190.56,15723.864,2419.056
"44","172","Pervasief - vanaf 800 tot en met 1799 minuten",1793.38,2391.17333333333,1554.26266666667,239.117333333333
"45","173","Pervasief - vanaf 12000 tot en met 17999 minuten",18307.54,24410.0533333333,15866.5346666667,2441.00533333333
"46","175","Overige kindertijd - vanaf 6000 tot en met 11999 minuten",10816.74,14422.32,9374.508,1442.232
"47","177","Delirium dementie en overig - vanaf 12000 tot en met 17999 minuten",19006.82,25342.4266666667,16472.5773333333,2534.24266666667
"48","178","Delirium dementie en overig - vanaf 18000 minuten",31069.45,41425.9333333333,26926.8566666667,4142.59333333333
"49","179","Alcohol - vanaf 12000 tot en met 17999 minuten",18567.88,24757.1733333333,16092.1626666667,2475.71733333333
"50","180","Alcohol - vanaf 18000 minuten",29285.31,39047.08,25380.602,3904.708
"51","181","Overige aan een middel - vanaf 800 tot en met 1799 minuten",1694.38,2259.17333333333,1468.46266666667,225.917333333334
"52","182","Overige aan een middel - vanaf 12000 tot en met 17999 minuten",18883.06,25177.4133333333,16365.3186666667,2517.74133333333
"53","183","Overige aan een middel - vanaf 18000 minuten",28918.2,38557.6,25062.44,3855.75999999999
"54","184","Schizofrenie - vanaf 800 tot en met 1799 minuten",1809.83,2413.10666666667,1568.51933333333,241.310666666667
"55","185","Schizofrenie - vanaf 24000 tot en met 29999 minuten",32716.89,43622.52,28354.638,4362.252
"56","186","Schizofrenie - vanaf 30000 minuten",57559.57,76746.0933333333,49884.9606666667,7674.60933333334
"57","187","Depressie - vanaf 18000 tot en met 23999 minuten",27344,36458.6666666667,23698.1333333333,3645.86666666667
"58","188","Depressie - vanaf 24000 minuten",38656.12,51541.4933333333,33501.9706666667,5154.14933333333
"59","189","Bipolair en overig - vanaf 250 tot en met 799 minuten",950.08,1266.77333333333,823.402666666667,126.677333333333
"60","190","Bipolair en overig - vanaf 1800 tot en met 2999 minuten",3384.69,4512.92,2933.398,451.292
"61","191","Bipolair en overig - vanaf 12000 tot en met 17999 minuten",19291.2,25721.6,16719.04,2572.16
"62","192","Bipolair en overig - vanaf 18000 minuten",30542.59,40723.4533333333,26470.2446666667,4072.34533333333
"63","193","Angst - vanaf 3000 tot en met 5999 minuten",5710.94,7614.58666666667,4949.48133333333,761.458666666666
"64","194","Angst - vanaf 6000 tot en met 11999 minuten",10925.33,14567.1066666667,9468.61933333333,1456.71066666667
"65","195","Angst - vanaf 18000 tot en met 23999 minuten",26680.02,35573.36,23122.684,3557.336
"66","196","Angst - vanaf 24000 minuten",35886.08,47848.1066666667,31101.2693333333,4784.81066666667
"67","203","Restgroep diagnoses - vanaf 800 tot en met 1799 minuten",1759.59,2346.12,1524.978,234.612
"68","204","Restgroep diagnoses - vanaf 12000 tot en met 17999 minuten",19108.41,25477.88,16560.622,2547.788
"69","205","Restgroep diagnoses - vanaf 18000 minuten",30238.24,40317.6533333333,26206.4746666667,4031.76533333333
"70","206","Persoonlijkheid - vanaf 800 tot en met 1799 minuten",1873.38,2497.84,1623.596,249.784
"71","207","Persoonlijkheid - vanaf 3000 tot en met 5999 minuten",5818.94,7758.58666666667,5043.08133333333,775.858666666666
"72","208","Persoonlijkheid - vanaf 6000 tot en met 11999 minuten",11234.24,14978.9866666667,9736.34133333333,1497.89866666667
"73","209","Persoonlijkheid - vanaf 18000 tot en met 23999 minuten",26209.68,34946.24,22715.056,3494.624
"74","215","Behandeling kort - vanaf 1 tot en met 99 minuten",112.67,150.226666666667,97.6473333333333,15.0226666666667
"75","216","Behandeling kort - vanaf 100 tot en met 199 minuten",258.8,345.066666666667,224.293333333333,34.5066666666667
"76","217","Behandeling kort - vanaf 200 tot en met 399 minuten",474.34,632.453333333333,411.094666666667,63.2453333333333
"77","221","Aandachtstekort - en gedrag - vanaf 18000 tot en met 23999 minuten",25830.83,34441.1066666667,22386.7193333333,3444.11066666667
"78","222","Aandachtstekort - en gedrag - vanaf 24000 minuten",35751.28,47668.3733333333,30984.4426666667,4766.83733333333
"79","223","Pervasief - vanaf 1800 tot en met 2999 minuten",3226.32,4301.76,2796.144,430.176
"80","224","Pervasief - vanaf 18000 tot en met 23999 minuten",26019.76,34693.0133333333,22550.4586666667,3469.30133333333
"81","225","Pervasief - vanaf 24000 minuten",40559.44,54079.2533333333,35151.5146666667,5407.92533333333
"82","226","Overige kindertijd - vanaf 12000 tot en met 17999 minuten",18716.61,24955.48,16221.062,2495.548
"83","227","Overige kindertijd - vanaf 18000 minuten",32872.69,43830.2533333333,28489.6646666667,4383.02533333333
"84","228","Delirium dementie en overig - vanaf 250 tot en met 799 minuten",913.62,1218.16,791.804,121.816
"85","229","Delirium dementie en overig - vanaf 800 tot en met 1799 minuten",1716.15,2288.2,1487.33,228.82
"86","230","Schizofrenie - vanaf 250 tot en met 799 minuten",933.62,1244.82666666667,809.137333333333,124.482666666667
"87","231","Depressie - vanaf 250 tot en met 799 minuten",939.87,1253.16,814.554,125.316
"88","232","Depressie - vanaf 800 tot en met 1799 minuten",1848.17,2464.22666666667,1601.74733333333,246.422666666667
"89","233","Depressie - vanaf 1800 tot en met 2999 minuten",3377.99,4503.98666666667,2927.59133333333,450.398666666667
"90","234","Depressie - vanaf 3000 tot en met 5999 minuten",5785.08,7713.44,5013.736,771.344
"91","235","Depressie - vanaf 6000 tot en met 11999 minuten",11146.64,14862.1866666667,9660.42133333333,1486.21866666667
"92","236","Bipolair en overig - vanaf 800 tot en met 1799 minuten",1880.15,2506.86666666667,1629.46333333333,250.686666666667
"93","237","Angst - vanaf 250 tot en met 799 minuten",918.53,1224.70666666667,796.059333333333,122.470666666667
"94","238","Angst - vanaf 800 tot en met 1799 minuten",1828.27,2437.69333333333,1584.50066666667,243.769333333333
"95","239","Angst - vanaf 1800 tot en met 2999 minuten",3350.83,4467.77333333333,2904.05266666667,446.777333333333
"96","242","Restgroep diagnoses - vanaf 250 tot en met 799 minuten",880.24,1173.65333333333,762.874666666667,117.365333333333
"97","243","Persoonlijkheid - vanaf 1800 tot en met 2999 minuten",3405.56,4540.74666666667,2951.48533333333,454.074666666667
"98","244","Persoonlijkheid - vanaf 24000 tot en met 29999 minuten",35032.53,46710.04,30361.526,4671.004
"99","245","Persoonlijkheid - vanaf 30000 minuten",42642.91,56857.2133333333,36957.1886666667,5685.72133333333
"100","246","Somatoforme - vanaf 250 tot en met 799 minuten",888.39,1184.52,769.938,118.452
"101","247","Somatoforme - vanaf 800 tot en met 1799 minuten",1775.95,2367.93333333333,1539.15666666667,236.793333333333
"102","248","Somatoforme - vanaf 1800 tot en met 2999 minuten",3287.48,4383.30666666667,2849.14933333333,438.330666666667
"103","249","Somatoforme - vanaf 3000 tot en met 5999 minuten",5501.14,7334.85333333333,4767.65466666667,733.485333333333
"104","250","Somatoforme - vanaf 6000 tot en met 11999 minuten",11075.23,14766.9733333333,9598.53266666667,1476.69733333333
"105","251","Somatoforme - vanaf 12000 minuten",20373.91,27165.2133333333,17657.3886666667,2716.52133333333
"106","252","Eetstoornis - vanaf 250 tot en met 799 minuten",896.88,1195.84,777.296,119.584
"107","253","Eetstoornis - vanaf 800 tot en met 1799 minuten",1812.46,2416.61333333333,1570.79866666667,241.661333333333
"108","254","Eetstoornis - vanaf 1800 tot en met 2999 minuten",3268.44,4357.92,2832.648,435.792
"109","255","Eetstoornis - vanaf 3000 tot en met 5999 minuten",5796.4,7728.53333333333,5023.54666666667,772.853333333333
"110","256","Eetstoornis - vanaf 6000 tot en met 11999 minuten",10120.35,13493.8,8770.97,1349.38
"111","257","Eetstoornis - vanaf 12000 tot en met 17999 minuten",19092.61,25456.8133333333,16546.9286666667,2545.68133333333
"112","258","Eetstoornis - vanaf 18000 minuten",29428.64,39238.1866666667,25504.8213333333,3923.81866666666
"113","264","Behandeling kort - vanaf 400 minuten",778.71,1038.28,674.882,103.828
"114","307","Diagnostiek - vanaf 800 minuten",1440.97,1921.29333333333,1248.84066666667,192.129333333333
