"code","Productgroep","tarief"
"89","194","Angst - vanaf 6000 tot en met 11999 minuten",16147.64
"90","150","Angst - vanaf 12000 tot en met 17999 minuten",27896.38
"91","195","Angst - vanaf 18000 tot en met 23999 minuten",39433.07
"92","196","Angst - vanaf 24000 minuten",53039.63
"93","242","Restgroep diagnoses - vanaf 250 tot en met 799 minuten",1291.77
"94","203","Restgroep diagnoses - vanaf 800 tot en met 1799 minuten",2582.24
"95","118","Restgroep diagnoses - vanaf 1800 tot en met 2999 minuten",4881.34
"96","119","Restgroep diagnoses - vanaf 3000 tot en met 5999 minuten",8413.84
"97","156","Restgroep diagnoses - vanaf 6000 tot en met 11999 minuten",16373.15
"98","204","Restgroep diagnoses - vanaf 12000 tot en met 17999 minuten",28242.23
"99","205","Restgroep diagnoses - vanaf 18000 minuten",44692.12
"100","121","Persoonlijkheid - vanaf 250 tot en met 799 minuten",1363.44
"101","206","Persoonlijkheid - vanaf 800 tot en met 1799 minuten",2749.23
"102","243","Persoonlijkheid - vanaf 1800 tot en met 2999 minuten",4997.76
"103","207","Persoonlijkheid - vanaf 3000 tot en met 5999 minuten",8539.45
"104","208","Persoonlijkheid - vanaf 6000 tot en met 11999 minuten",16604.21
"105","158","Persoonlijkheid - vanaf 12000 tot en met 17999 minuten",28175.55
"106","209","Persoonlijkheid - vanaf 18000 tot en met 23999 minuten",38737.9
"107","244","Persoonlijkheid - vanaf 24000 tot en met 29999 minuten",51778.07
"108","245","Persoonlijkheid - vanaf 30000 minuten",63026.22
"109","246","Somatoforme - vanaf 250 tot en met 799 minuten",1303.73
"110","247","Somatoforme - vanaf 800 tot en met 1799 minuten",2606.26
"111","248","Somatoforme - vanaf 1800 tot en met 2999 minuten",4824.46
"112","249","Somatoforme - vanaf 3000 tot en met 5999 minuten",8073.08
"113","250","Somatoforme - vanaf 6000 tot en met 11999 minuten",16369.19
"114","251","Somatoforme - vanaf 12000 minuten",30112.63
"115","252","Eetstoornis - vanaf 250 tot en met 799 minuten",1316.2
"116","253","Eetstoornis - vanaf 800 tot en met 1799 minuten",2659.83
"117","254","Eetstoornis - vanaf 1800 tot en met 2999 minuten",4796.53
"118","255","Eetstoornis - vanaf 3000 tot en met 5999 minuten",8506.37
"119","256","Eetstoornis - vanaf 6000 tot en met 11999 minuten",14957.88
"120","257","Eetstoornis - vanaf 12000 tot en met 17999 minuten",28218.88
"121","258","Eetstoornis - vanaf 18000 minuten",43495.53
