,code,Group,fee
60,183,Other addictive substances - from 18000 minutes,42741.1
61,230,Schizophrenia - from 250 up to and including 799 minutes,1370.11
62,184,Schizophrenia - from 800 up to and including 1799 minutes,2655.97
63,66,Schizophrenia - from 1800 up to and including 2999 minutes,4774.89
64,67,Schizophrenia - from 3000 up to and including 5999 minutes,8473.97
65,68,Schizophrenia - from 6000 up to and including 11999 minutes,16392.31
66,143,Schizophrenia - from 12000 up to and including 17999 minutes,27960.37
67,144,Schizophrenia - from 18000 up to and including 23999 minutes,39068.18
68,185,Schizophrenia - from 24000 up to and including 29999 minutes,48355.56
69,186,Schizophrenia - from 30000 minutes,85073.04
70,231,Depression - from 250 up to and including 799 minutes,1379.29
71,232,Depression - from 800 up to and including 1799 minutes,2712.24
72,233,Depression - from 1800 up to and including 2999 minutes,4957.3
73,234,Depression - from 3000 up to and including 5999 minutes,8489.77
74,235,Depression - from 6000 up to and including 11999 minutes,16474.74
75,146,Depression - from 12000 up to and including 17999 minutes,28395.38
76,187,Depression - from 18000 up to and including 23999 minutes,40414.43
77,188,Depression - from 24000 minutes,57133.75
78,189,Bipolar and other - from 250 up to and including 799 minutes,1394.27
79,236,Bipolar and other - from 800 up to and including 1799 minutes,2759.17
80,190,Bipolar and other - from 1800 up to and including 2999 minutes,4967.12
81,87,Bipolar and other - from 3000 up to and including 5999 minutes,8779.16
82,148,Bipolar and other - from 6000 up to and including 11999 minutes,16643.82
83,191,Bipolar and other - from 12000 up to and including 17999 minutes,28512.4
84,192,Bipolar and other - from 18000 minutes,45141.95
85,237,Anxiety - from 250 up to and including 799 minutes,1347.97
86,238,Anxiety - from 800 up to and including 1799 minutes,2683.04
87,239,Anxiety - from 1800 up to and including 2999 minutes,4917.44
88,193,Anxiety - from 3000 up to and including 5999 minutes,8380.96
89,194,Anxiety - from 6000 up to and including 11999 minutes,16147.64
90,150,Anxiety - from 12000 up to and including 17999 minutes,27896.38
91,195,Anxiety - from 18000 up to and including 23999 minutes,39433.07
92,196,Anxiety - from 24000 minutes,53039.63
93,242,Rest Group diagnostics - from 250 up to and including 799 minutes,1291.77
94,203,Rest Group diagnostics - from 800 up to and including 1799 minutes,2582.24
95,118,Rest Group diagnostics - from 1800 up to and including 2999 minutes,4881.34
96,119,Rest Group diagnostics - from 3000 up to and including 5999 minutes,8413.84
97,156,Rest Group diagnostics - from 6000 up to and including 11999 minutes,16373.15
98,204,Rest Group diagnostics - from 12000 up to and including 17999 minutes,28242.23
99,205,Rest Group diagnostics - from 18000 minutes,44692.12
100,121,Personality - from 250 up to and including 799 minutes,1363.44
101,206,Personality - from 800 up to and including 1799 minutes,2749.23
102,243,Personality - from 1800 up to and including 2999 minutes,4997.76
103,207,Personality - from 3000 up to and including 5999 minutes,8539.45
104,208,Personality - from 6000 up to and including 11999 minutes,16604.21
105,158,Personality - from 12000 up to and including 17999 minutes,28175.55
106,209,Personality - from 18000 up to and including 23999 minutes,38737.9
107,244,Personality - from 24000 up to and including 29999 minutes,51778.07
108,245,Personality - from 30000 minutes,63026.22
109,246,Somatoform - from 250 up to and including 799 minutes,1303.73
110,247,Somatoform - from 800 up to and including 1799 minutes,2606.26
111,248,Somatoform - from 1800 up to and including 2999 minutes,4824.46
112,249,Somatoform - from 3000 up to and including 5999 minutes,8073.08
113,250,Somatoform - from 6000 up to and including 11999 minutes,16369.19
114,251,Somatoform - from 12000 minutes,30112.63
115,252,Eating Disorder - from 250 up to and including 799 minutes,1316.2
116,253,Eating Disorder - from 800 up to and including 1799 minutes,2659.83
117,254,Eating Disorder - from 1800 up to and including 2999 minutes,4796.53
118,255,Eating Disorder - from 3000 up to and including 5999 minutes,8506.37
119,256,Eating Disorder - from 6000 up to and including 11999 minutes,14957.88
120,257,Eating Disorder - from 12000 up to and including 17999 minutes,28218.88
121,258,Eating Disorder - from 18000 minutes,43495.53
