Allen, Miss Elisabeth Walton
Asplund, Mrs Carl Oscar (Selma Augusta Johansson)
Aspland, Master Edvin Rojj Felix
Asplund, Mr John Charles
Asplund, Miss Lillian Gertrud
Assaf, Mrs Mariana
Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)
Baclini, Miss Eugenie
Baclini, Miss Helene
Baclini, Miss Maria
Baclini, Mrs Solomon (Latifa)
Badman, Miss Emily Louisa
Banoura, Miss Ayout
Bing, Mr Lee
Bradley, Miss Bridget Delia
Buckley, Mr Daniel
Carr, Miss Helen
Cassem, Mr Nassef Belmenly
Cohen, Mr Gurshon (Gus)
Connolly, Miss Kate
Coutts, Mrs William (Minnie)
Coutts, Master Neville
Coutts, Master William Leslie
Cribb, Miss Laura Alice
Dahl, Mr Charles Edward
Daly, Mr Eugene
Daly, Miss Marcella
Davison, Mrs Thomas Henry (Mary Finck)
Dean, Mrs Bertram (Eva)
Dean, Master Bertram Vere
Dean, Miss Elizabeth Gladys (Millvena)
De Messemaeker, Mr William Joseph
De Messemaeker, Mrs William Joseph (Anna)
De Mulder, Mr Theo
Devaney, Miss Margaret
Dorkings, Mr Edward Arthur
Dowdell, Miss Elizabeth
Drapkin, Miss Jennie
Driscoll, Miss Bridget
Duquemin, Mr Joseph
Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson)
Emanuel, Miss Virginia Ethel
Finoli, Mr Luigi
Foo, Mr Choong
Georges, Mrs Shahini Weappi
Gilnagh, Miss Katie
Glynn, Miss Mary Agatha
Goldsmith, Mrs Frank John (Emily A Brown)
Goldsmith, Master Frank John William
Hakkarainen, Mrs Pekko Pietari
Hansen, Mrs Claus Peter
Hedman, Mr Oscar
Heikkinen, Miss Laina
Hellstrom, Hilda Maria
Hirvonen, Mrs Alexander
Honkanen, Miss Eluna
Howard, Miss May
Hyman, Mr Abraham
Jansen, Mr Carl Olof
Jensen, Miss Carla Christine
Jermyn, Miss Annie
Johansson, Mr Karl Johan
Johansson, Oscar L
Johnson, Miss Eleanor Ileen
Johnson, Master Harold Theodor
Jonsson, Mr Carl
Jussila, Mr Erik
Karlsson, Mr Einar Gervasius
Karun, Miss Anna Mary
Kelly, Miss Anna Kate
Kelly, Miss Mary
Kink, Mr Anton
Kink, Miss Louise Gretchen
Krekorian, Mr Neshan
Lam, Mr Ali
Landegren, Miss Aurora Adelia
Lang, Mr Fang
Leeni, Mr Fahim
Lindqvist, Eino William
Lulich, Mr Nicola
Lundin, Miss Olga Elida
Madigan, Miss Margaret
Mamee, Mr Hanna
Mannion, Miss Margareth
Masselmany, Mrs Fatima
McCarthy, Miss Katie
McGovern, Mrs Hugh
Midtsjo, Mr Karl Albert
Mocklare, Miss Helen Mary
Moor, Mrs Beila
Moran, Miss Bertha
Moubarek (Borak), Mr Hanna (John)
Mullins, Miss Katie
Nackid, Miss Maria
Najib, Miss Adele Kiamie
Nicola-Yarred, Miss Jamila
Nilsson, Miss Berta Olivia
Novel, Mansouer
O'Brien, Mrs Thomas
Odahl, Mr Nils Martin
Olsson, Mr Oscar Johansson
Osman, Miss Maria
Pekoniemi, Mr Edvard
Persson, Mr Ernst Ulrik
Pickard (Trembisky), Mr Berk
Riordan, Miss Hannah
Roth, Miss Sarah
Ryan, Mr Edward Ryan
Saad, Khalil
Salkjelsvik, Miss Anna
Sandstrom, Miss Hjalmar
Sheerlinck, Mr Jean
Shine, Miss Ellen
Sjoblom, Miss Anna Sofia
Smyth, Miss Julia
Sop, Mr Jules
Stanley, Miss Amy Zilla Elsie
Stranden, Mr Juho
Sunderland, Mr Victor Francis
Svensson, Mr Johan Cervin
Tenglin, Mr Gunnar Isidor
Thomas, Mrs Alexander
Thorneycroft, Mrs Percival
Tornquist, Mr William Henry
Turja, Miss Anna Sofia
Turkula, Mrs Hedvig
Vartunian, Mr David
Wennerstrom, Mr August Edvard
Wilkes, Mrs Ellen
Yalsevac, Mr Ivan
Yasbeck, Mrs Antoni
